AUTO POSTO LAGOA CAFE                                                        08/07/2026 09:43;;;
CAIXA GERAL;;;
Empresa: 1 - AUTO POSTO LAGOA CAFE;;;
Período: 06/07/2026 a 06/07/2026;;;
VENDA DE COMBUSTÍVEL;;;
Combustível;Litros;Valor;
01. ETANOL HIDRATADO ADITIVADO;1274,359;6412,9;
02. GASOLINA C COMUM;4072,076;28101,79;
03. GASOLINA ORIGINAL C ADITIV;417,471;2934,38;
04. DIESELS-500 ORIGINAL ADITI;0;0;
05. DIESEL BS-10 ORIGINAL ADIT;943,334;7204,83;
Total;6707,24;44653,9;
VENDA DE PRODUTOS;;;
Grupo;Quantidade;Valor;
AUTOMOTIVOS;1;12;
LUBRIFICANTES;5;184;
NEW INJETTOR;1;29,5;
Total;7;225,5;
FINANCEIRO;;;
Entradas;Saídas;;
SOBRA DE CAIXA;1,1;BR PREMMIA CARTAO;452,31
VENDA DE PRODUTOS;44879,4;BR PREMMIA GENERICO;29,5
;;BR PREMMIA PIX;130
;;CARTAO FITCARD;5926,83
;;CARTAO PREMIA;350
;;DESPESAS DO POSTO;303,02
;;DINHEIRO;25
;;FALTA DE CAIXA;2,09
;;MOEDAS;7,55
;;NOTAS A PRAZO;3203,36
;;PAG PIX;9131,48
;;POS PAGSEGURO ELO DEBITO;200,8
;;POS PAGSEGURO MASTER.CRE;75
;;POS PAGSEGURO MASTER.DEB;308,39
;;POS PAGSEGURO VISA CREDI;279,6
;;POS PAGSEGURO VISA DEBIT;238
;;SANGRIA;10153
;;SMART PAGSEGURO ELO CRED;337,16
;;SMART PAGSEGURO ELO DEBI;1395,96
;;SMART PAGSEGURO MASTER.C;2509,02
;;SMART PAGSEGURO MASTER.D;3944,06
;;SMART PAGSEGURO VISA CRE;1669,99
;;SMART PAGSEGURO VISA DEB;3957,38
Subtotal;44880,5;Subtotal;44879,5
Diferença;-1;;
